;;;20;19;;31;
30;29;;18;17;;;
28;27;;16;15;;8;7E
26;25;;14;13;;6;5
24;23;;12;11;;4;3
22;21;;;9;;2;1E
;;;T;T;;;
;;;20;19;;31;
30;29;;18;17;;;
28;27;;16;15;;8;7E
26;25;;14;13;;6;5
24;23;;12;11;;4;3
22;21;;;9;;2;1E
;;;T;T;;;
;;;20;19;;31;
30;29;;18;17;;;
28;27;;16;15;;8;7E
26;25;;14;13;;6;5
24;23;;12;11;;4;3
22;21;;;9;;2;1E
;;;T;T;;;
;;;20;19;;31;
30;29;;18;17;;;
28;27;;16;15;;8;7E
26;25;;14;13;;6;5
24;23;;12;11;;4;3
22;21;;;9;;2;1E
;;;T;T;;;
;;;20;19;;31;
30;29;;18;17;;;
28;27;;16;15;;8;7E
26;25;;14;13;;6;5
24;23;;12;11;;4;3
22;21;;;9;;2;1E
;;;T;T;;;
;;;20;19;;31;
30;29;;18;17;;;
28;27;;16;15;;8;7E
26;25;;14;13;;6;5
24;23;;12;11;;4;3
22;21;;;9;;2;1E
;;;T;T;;;
;;;20;19;;31;
30;29;;18;17;;;
28;27;;16;15;;8;7E
26;25;;14;13;;6;5
24;23;;12;11;;4;3
22;21;;;9;;2;1E
;;;T;T;;;
;;;20;19;;31;
30;29;;18;17;;;
28;27;;16;15;;8;7E
26;25;;14;13;;6;5
24;23;;12;11;;4;3
22;21;;;9;;2;1E
;;;T;T;;;
;;;20;19;;31;
30;29;;18;17;;;
28;27;;16;15;;8;7E
26;25;;14;13;;6;5
24;23;;12;11;;4;3
22;21;;;9;;2;1E
;;;T;T;;;
;;;20;19;;31;
30;29;;18;17;;;
28;27;;16;15;;8;7E
26;25;;14;13;;6;5
24;23;;12;11;;4;3
22;21;;;9;;2;1E
;;;T;T;;;
;;;20;19;;31;
30;29;;18;17;;;
28;27;;16;15;;8;7E
26;25;;14;13;;6;5
24;23;;12;11;;4;3
22;21;;;9;;2;1E
;;;T;T;;;
;;;20;19;;31;
30;29;;18;17;;;
28;27;;16;15;;8;7E
26;25;;14;13;;6;5
24;23;;12;11;;4;3
22;21;;;9;;2;1E
;;;T;T;;;
;;;20;19;;31;
30;29;;18;17;;;
28;27;;16;15;;8;7E
